name	work	role
索菲缇娅	9-nine-九次九日九重色	side
深泽与一	9-nine-九次九日九重色	side
高峰莲夜	9-nine-天色天歌天籁音	side
成濑沙月	9-nine-九次九日九重色	side
幽灵	9-nine-九次九日九重色	appears
蕾娜	9-nine-雪色雪花雪之痕	side
阿良句宁子	月姬 -A piece of blue glass moon-	side
マーリオゥ・ジャッロ・ベスティーノ	月姬 -A piece of blue glass moon-	side
橘结衣	混沌子	side
希丝	传颂之物-二人之白皇-	side
トリコリ	传颂之物-二人之白皇-	side
デリラ	星之终途	side
中村义贞	樱之诗 - 在樱花之森上飞舞	side
鸟谷纱希	樱之诗 - 在樱花之森上飞舞	side
中村丽华	樱之诗 - 在樱花之森上飞舞	appears
恩田雾乃	樱之诗 - 在樱花之森上飞舞	side
明石亘	樱之诗 - 在樱花之森上飞舞	side
明石小牧	樱之诗 - 在樱花之森上飞舞	side
明石小沙智	樱之诗 - 在樱花之森上飞舞	side
吹	樱之诗 - 在樱花之森上飞舞	side
伯奇	樱之诗 - 在樱花之森上飞舞	side
乾沙希	苍之彼方的四重奏	side
我如古茧	苍之彼方的四重奏	side
青柳窓果	苍之彼方的四重奏	side
各务葵	苍之彼方的四重奏	side
佐藤院丽子	苍之彼方的四重奏	side
保科太一	魔女的夜宴	side
海道秀明	魔女的夜宴	side
久島佳苗	魔女的夜宴	side
相馬七緒	魔女的夜宴	side
仮屋和奏	魔女的夜宴	side
綿貫かえで	天之少女	side
窪井千絵	天之少女	side
前園静	天之少女	side
多邑春花	天之少女	side
鞍马小春	千恋＊万花	side
鞍馬廉太郎	千恋＊万花	side
中条比奈实	千恋＊万花	side
鞍馬玄十郎	千恋＊万花	side
猪谷心子	千恋＊万花	side
駒川みづは	千恋＊万花	side
朝武安晴	千恋＊万花	side
卡米娜尔·路·普鲁提亚·索尔特雷吉·希斯雅	金辉恋曲四重奏	side
城崎绚华	金辉恋曲四重奏	side
周防恭平	RIDDLE JOKER	side
柿本香里	RIDDLE JOKER	side
伊勢篤紀	RIDDLE JOKER	side
伊勢琴里	RIDDLE JOKER	side
冬月十夜	樱花、萌放。-as the Night's, Reincarnation-	side
兔蛙梓咲	樱花、萌放。-as the Night's, Reincarnation-	side
高嶺和史	星光咖啡馆与死神之蝶	side
汐山宏人	星光咖啡馆与死神之蝶	side
出云	白日梦的构想图	side
神麓凛	多娜多娜 一起干坏事吧	side
清水千晴	多娜多娜 一起干坏事吧	side
樋口絵理子	变态监狱	side
櫛森日和子	变态监狱	side
湊柊菜子	变态监狱	side
山岸姫瑠	变态监狱	side
太田部夏海	变态监狱	side
小沢翔也	变态监狱	side
木下カエデ	天使☆嚣嚣 RE-BOOT!	side
白石チカ	天使☆嚣嚣 RE-BOOT!	side
三国彩里	天使☆嚣嚣 RE-BOOT!	side
谷風由月	天使☆嚣嚣 RE-BOOT!	side
クラヴィ	天使☆嚣嚣 RE-BOOT!	side
ヴェガ	天使☆嚣嚣 RE-BOOT!	side
月乃 (天使☆嚣嚣 RE-BOOT!)	天使☆嚣嚣 RE-BOOT!	side
シュティ	天使☆嚣嚣 RE-BOOT!	appears
第一王子	天使☆嚣嚣 RE-BOOT!	side
