name	work	reason
卡露拉 (传颂之物-虚伪的假面-)	传颂之物-虚伪的假面-	
有村雏绘	混沌子	
山添雨季	混沌子	
天羽美羽	纯白交响曲 SANA EDITION	
安洁莉娜·菜夏·史威尔	纯白交响曲 SANA EDITION	
瓜生樱乃	纯白交响曲 SANA EDITION	
濑名爱理	纯白交响曲 SANA EDITION	
草薙水菜	樱之诗 - 在樱花之森上飞舞	
托马斯	樱之诗 - 在樱花之森上飞舞	
咲崎樱子	樱之诗 - 在樱花之森上飞舞	
麦提·弗里曼	樱之诗 - 在樱花之森上飞舞	
片贝拓实	樱之诗 - 在樱花之森上飞舞	
白濑美奈茂	苍之彼方的四重奏	
市之濑莉佳	苍之彼方的四重奏	
鸢泽美咲	苍之彼方的四重奏	
日向彼方	纸上的魔法使	
赤城	魔女的夜宴	
越路美穗	魔女的夜宴	
因幡巡	魔女的夜宴	
考崎千鸟	FLOWERS 夏篇	
亚历克西斯·莱斯基宁	命运石之门 0	
天满桥爱丽丝	兰斯03 利萨斯陷落	
蕾娜·莉希特娜瓦	千恋＊万花	
丛雨	千恋＊万花	
咩子	人狼村之谜	
芹泽千枝实	人狼村之谜	
卷岛春	人狼村之谜	
希尔维娅·路·库洛斯克劳恩·索尔特雷吉·希斯雅	金辉恋曲四重奏	
艾罗伊娜·蒂·卡巴列罗·伊斯塔	金辉恋曲四重奏	
僧间理亚	金辉恋曲四重奏	
玛里亚·毕肖普	金辉恋曲四重奏	
水野佐知子	海底	
贵呼	海底	
三司绫濑	RIDDLE JOKER	
小黑	樱花、萌放。-as the Night's, Reincarnation-	
夜月姬织	樱花、萌放。-as the Night's, Reincarnation-	
真白 (樱花、萌放。-as the Night's, Reincarnation-)	樱花、萌放。-as the Night's, Reincarnation-	
兔蛙智仁	樱花、萌放。-as the Night's, Reincarnation-	
对马馨	MUSICUS!	
渡会雏见	抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？	
片桐奈奈濑	抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？	
丝丝子	抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？2	
米咖多	星光咖啡馆与死神之蝶	
四季夏目	星光咖啡馆与死神之蝶	
阿良良木	樱色之云*绯色之恋	
奥莉薇娅·蓓丽	白日梦的构想图	
桃之内李	白日梦的构想图	
琪琪 (白日梦的构想图)	白日梦的构想图	
菜菜山萌世歌	美少女万华镜 -理与迷宫的少女-	
黑姬结灯	甜蜜女友2	
茑町千岁	甜蜜女友2	
冰见山玲	甜蜜女友2	
紫苑 (多娜多娜 一起干坏事吧)	多娜多娜 一起干坏事吧	
珀尔诺	多娜多娜 一起干坏事吧	
绮菈绮菈	多娜多娜 一起干坏事吧	
梅蒂可	多娜多娜 一起干坏事吧	
安缇娜	多娜多娜 一起干坏事吧	
爱丽丝 (多娜多娜 一起干坏事吧)	多娜多娜 一起干坏事吧	
米丝特雷丝	多娜多娜 一起干坏事吧	
菊千代 (多娜多娜 一起干坏事吧)	多娜多娜 一起干坏事吧	
诺瓦	星空列车与白的旅行	
匂宫巡游	冥契的牧神节	
百里风实花	天使☆嚣嚣 RE-BOOT!	
美铃 (播种之谣)	播种之谣	
泽渡可可	魔法少女的魔女审判	
莲见蕾雅	魔法少女的魔女审判	
夏目安安	魔法少女的魔女审判	
鸿纱由美	甜蜜女友3	
隐杏珠	橘光柠水随想曲	
二见原莉莉子	橘光柠水随想曲	
