db_id	vndb_id	name	field	db_value	vndb_value	legacy
101	c4672	莉希安瑟丝	cv	あおきさやか	あおき さやか	legacy
103	c4675	时雨亚沙	cv	伊藤美紀	伊藤 美紀	legacy
103	c4675	时雨亚沙	hair_color	绿色	紫色	legacy
103	c4675	时雨亚沙	hair_color_family	green	purple	legacy
113	c1186	千堂瑛里华	cv	井上麻里奈	観村 咲子	legacy
113	c1186	千堂瑛里华	company	August	オーガスト	legacy
113	c1186	千堂瑛里华	release_year	2008	2007	legacy
116	c1594	新藤景	cv	岡田純子	桜井 美鈴	legacy
116	c1594	新藤景	work	ef - a fairy tale of the two.	悠久之翼	legacy
121	c94338	凉宫茜	cv	上原ともみ	上原 ともみ	legacy
121	c94338	凉宫茜	hair_color	橙色	绿色	legacy
121	c94338	凉宫茜	hair_color_family	orange	green	legacy
121	c94338	凉宫茜	company	âge	アージュ	legacy
140	c9952	羽山海己	cv	三橋加奈子	石川 乃奈	legacy
140	c9952	羽山海己	company	GIGA	戯画	legacy
140	c9952	羽山海己	release_year	2006	2005	legacy
147	c60021	深泽与一	cv	山本和臣	紅茶葉	legacy
147	c60021	深泽与一	hair_color	蓝色	红色	legacy
147	c60021	深泽与一	hair_color_family	blue	red	legacy
147	c60021	深泽与一	work	9-nine-九次九日九重色	9-nine-雪色雪花雪余痕	legacy
147	c60021	深泽与一	company	PALETTE	ぱれっと	legacy
147	c60021	深泽与一	release_year	2017	2020	legacy
149	c60022	成濑沙月	cv	武田華	ひな 葉月	legacy
149	c60022	成濑沙月	company	PALETTE	ぱれっと	legacy
150	c2942	仓田佐祐理	cv	川上とも子	川上 とも子	legacy
151	c2943	水濑秋子	cv	皆口裕子	皆口 裕子	legacy
155	c15852	芳野佑介	cv	緑川光	緑川 光	legacy
155	c15852	芳野佑介	work	CLANNAD	CLANNAD - 被光守望着的坡道	legacy
155	c15852	芳野佑介	release_year	2004	2008	legacy
156	c15854	柊胜平	cv	白石稔	白石 涼子	legacy
156	c15854	柊胜平	hair_color	金色	棕色	legacy
156	c15854	柊胜平	hair_color_family	blond	brown	legacy
156	c15854	柊胜平	work	CLANNAD	CLANNAD - 被光守望着的坡道	legacy
156	c15854	柊胜平	release_year	2004	2008	legacy
157	c15853	伊吹公子	cv	ゆかな	皆口 裕子	legacy
157	c15853	伊吹公子	work	CLANNAD	CLANNAD - 被光守望着的坡道	legacy
157	c15853	伊吹公子	release_year	2004	2008	legacy
159	c15863	冈崎直幸	cv	中村浩太郎	中 博史	legacy
163	c25336	椎名	cv	斎藤楓子	斎藤 楓子	legacy
163	c25336	椎名	hair_color	蓝色	红色	legacy
163	c25336	椎名	hair_color_family	blue	red	legacy
163	c25336	椎名	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
164	c25337	高松	cv	水島大宙	水島 大宙	legacy
164	c25337	高松	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
165	c25338	游佐	cv	牧野由依	牧野 由依	legacy
165	c25338	游佐	hair_color	金色	棕色	legacy
165	c25338	游佐	hair_color_family	blond	brown	legacy
165	c25338	游佐	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
166	c25339	野田	cv	高木俊	髙木 俊	legacy
166	c25339	野田	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
167	c25341	直井文人	cv	緒方恵美	緒方 恵美	legacy
167	c25341	直井文人	hair_color	绿色	红色	legacy
167	c25341	直井文人	hair_color_family	green	red	legacy
167	c25341	直井文人	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
168	c25342	藤卷	cv	増田裕生	増田 裕生	legacy
168	c25342	藤卷	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
169	c16285	松下护驒	cv	藤原啓治	徳本 英一郎	legacy
169	c16285	松下护驒	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
170	c34596	音无初音	cv	花澤香菜	中原 麻衣	legacy
170	c34596	音无初音	hair_color	橙色	红色	legacy
170	c34596	音无初音	hair_color_family	orange	red	legacy
170	c34596	音无初音	hair_length	短发	未知	legacy
170	c34596	音无初音	work	Angel Beats! (1st Beat)	Angel Beats! -1st beat-	legacy
174	c68284	岬镜子	cv	若林直美	高本 めぐみ	legacy
183	c91	尼禄·卡欧斯	cv	中田譲治	未知	legacy
183	c91	尼禄·卡欧斯	work	月姬	月姫	legacy
183	c91	尼禄·卡欧斯	release_year	2000	1999	legacy
184	c6496	桐生萌郁	cv	後藤沙緒里	後藤 沙緒里	legacy
184	c6496	桐生萌郁	work	STEINS;GATE	命运石之门	legacy
187	c3816	园崎阿魉	cv	井上喜久子	尾小平 志津香	legacy
187	c3816	园崎阿魉	hair_length	长发	未知	legacy
187	c3816	园崎阿魉	work	寒蝉鸣泣之时	寒蝉鸣泣之时解	legacy
187	c3816	园崎阿魉	release_year	2002	2004	legacy
275	c5443	御堂	cv	保志総一朗	保志 総一朗	legacy
275	c5443	御堂	release_year	2011	2010	legacy
201	c269	右代宫秀吉	cv	小山力也	広瀬 正志	legacy
214	c4674	芙蓉枫	cv	後藤邑子	後藤 邑子	legacy
214	c4674	芙蓉枫	hair_color	橙色	蓝色	legacy
214	c4674	芙蓉枫	hair_color_family	orange	blue	legacy
215	c4677	枯叶	cv	伊藤美紀	日向 裕羅	legacy
216	c4678	麻弓百里香	cv	井上喜久子	井上 美紀	legacy
216	c4678	麻弓百里香	hair_color	灰色	红色	legacy
216	c4678	麻弓百里香	hair_color_family	gray	red	legacy
222	c4016	水越真子	cv	松岡由貴	松岡 由貴	legacy
222	c4016	水越真子	work	初音岛	D.C.～ダ・カーポ～	legacy
223	c4021	白河历	cv	松井菜桜子	西田 こむぎ	legacy
223	c4021	白河历	hair_color	粉色	蓝色	legacy
223	c4021	白河历	hair_color_family	pink	blue	legacy
223	c4021	白河历	work	初音岛	D.C.～ダ・カーポ～	legacy
226	c9992	雾岛圣	cv	冬馬由美	冬馬 由美	legacy
228	c9996	神尾晴子	cv	久川綾	久川 綾	legacy
229	c9997	橘敬介	cv	三木眞一郎	三木 眞一郎	legacy
230	c9998	土豆	cv	今野宏美	今野 宏美	legacy
230	c9998	土豆	hair_color	白色	黑色	legacy
230	c9998	土豆	hair_color_family	white	black	legacy
232	c21313	柳也	cv	神奈延年	神奈 延年	legacy
239	c15847	坂上鹰文	cv	未知	涼森 ちさと	legacy
239	c15847	坂上鹰文	work	CLANNAD	智代After ～It's a Wonderful Life～	legacy
239	c15847	坂上鹰文	release_year	2004	2005	legacy
241	c22633	幸村俊夫	cv	青野武	青野 武	legacy
241	c22633	幸村俊夫	work	CLANNAD	CLANNAD - 被光守望着的坡道	legacy
241	c22633	幸村俊夫	release_year	2004	2008	legacy
242	c22634	冈崎史乃	cv	麻生美代子	麻生 美代子	legacy
243	c33899	牡丹	cv	川名真知子	川名 真知子	legacy
243	c33899	牡丹	hair_color	棕色	黑色	legacy
243	c33899	牡丹	hair_color_family	brown	black	legacy
248	c149091	志麻贺津纪	cv	朴璐美	朴 璐美	legacy
