# 已删除：在 VNDB 中找不到的作品（字符行计数）
count	work
561	神姬计划X
539	美少女花骑士
475	命运-冠位指定
146	闪耀星骑士
101	超昂大战 Escalation Heroines
74	探案法：侦探大赛
72	战舰少女R
69	炽焰天穹
49	絵師神の絆
48	BLACKSOULSII -愛しき貴方へ贈る不思議の国-
46	绝对服从命令
45	临时女友
44	有罪无罪
43	ぼくらの放課後戦争！
39	주사위의 잔영 for kakao
39	爱丽丝秘迹！〜少女们编织梦的秘境〜
39	恋活！
39	SUPER STRING
38	尸体派对 文选集 幸子的恋爱游戏 竭斯底里生日2U
38	夜下降生 Exe:Late [st]
38	恋爱课程
37	マブラヴ ガールズガーデン
35	世界计划 缤纷舞台！ feat. 初音未来
35	美好国度的建设方略
35	贽之匣庭
35	諦観のイヴ・べセル
34	千年战争Aigis
33	青春的开端
33	帝国千战记
33	夏娃年代记2
33	协同效应
32	薄樱鬼 真改 银星之抄
32	香港往事
31	兰斯4 -教团的遗产-
30	轩辕剑3 云和山的彼端
30	人工学园2
29	辐射：新维加斯
29	星之海洋：记忆
29	恐怖学校 : 白色情人节
29	１人殺すのも２人殺すのも同じことだと思うから
29	公鸡神探
28	Fate/EXTRA
28	BLACKSOULS -黒の童話と五魔姫-
27	精灵宝可梦 叶绿
27	明星志愿 - 星之守护
27	流寓街夢～君に至るコトノハ～
26	シャインポスト Be Your アイドル！
26	Hira Hira Hihiru
25	人工学园
25	七千兆亿的星空
25	八剑传
25	只属于我的神秘规则！赢了女训练家的话H是理所当然的
24	冻京NECRO SUICIDE MISSION
24	妃十三学园
24	炼金术师特莉丝的浴望
23	アイコミ
21	ディアホライゾン
21	妹とご主人さま。
21	なりそこないのよすが
21	高校教师～Memories of Summer～
20	记忆之日
20	最终幻想 纷争NT
20	丛林王座
20	繭の檻から見える空
20	死啮
20	STELLAR IDOL PROJECT
19	卢西恩 逊男改造大计划
19	Full Service
19	提早绽放的黑百合
19	椰城蓝调
18	黑兽～被白浊沾污的高傲圣女～
18	青春は突然に
17	机甲战线 REVELLION
17	迷宫旅人2 王立图书馆与魔物的封印
17	空梦
17	鬼哭街 泪尽铃音响
17	魔王と踊れ！2
17	VA-11 HALL-A：赛博朋克酒保行动
17	Ｉｌ－アイル－
17	遇见逆水寒
17	罪恶王权
17	黄昏旅店 Re:newal
17	米塔
17	谁是中之人
16	ふわりコンプレックス
16	火山的女儿
